,Country Name,Country Border Name,Happiness Score 2015,Happiness Score 2016,Happiness Score 2017
84,Togo,Central African Republic,3.678,,2.69300007820129
85,Togo,Togo,2.839,3.303,3.4949998855590803
86,Togo,Rwanda,3.465,3.515,3.47099995613098
87,Togo,South Sudan,,3.832,3.5910000801086404
88,Togo,Tanzania,3.781,3.666,3.34899997711182
89,Togo,Uganda,3.931,3.739,4.08099985122681
90,Togo,Zambia,5.129,4.795,4.513999938964839
91,Central African Republic,Cameroon,4.252,4.513,4.69500017166138
92,Central African Republic,Chad,3.667,3.763,3.9360001087188703
93,Central African Republic,Togo,2.839,3.303,3.4949998855590803
94,Central African Republic,Togo,2.839,3.303,3.4949998855590803
95,Central African Republic,South Sudan,,3.832,3.5910000801086404
96,Central African Republic,Sudan,4.55,4.1389999999999985,4.138999938964839
97,Togo,Angola,4.033,3.866,3.79500007629395
98,Togo,Cameroon,4.252,4.513,4.69500017166138
99,Togo,Central African Republic,3.678,,2.69300007820129
100,Togo,Togo,2.839,3.303,3.4949998855590803
101,Togo,Gabon,3.896,4.121,4.46500015258789
102,Switzerland,Austria,7.2,7.119,7.00600004196167
103,Switzerland,France,6.575,6.478,6.44199991226196
104,Switzerland,Germany,6.75,6.994,6.9510002136230495
105,Switzerland,Italy,5.948,5.977,5.96400022506714
106,Chile,Argentina,6.574,6.65,6.59899997711182
107,Chile,Peru,5.824,5.7429999999999986,5.71500015258789
108,Cameroon,Central African Republic,3.678,,2.69300007820129
109,Cameroon,Chad,3.667,3.763,3.9360001087188703
110,Cameroon,Togo,2.839,3.303,3.4949998855590803
111,Cameroon,Gabon,3.896,4.121,4.46500015258789
112,Cameroon,Nigeria,5.268,4.875,5.07399988174438
113,China,Afghanistan,3.575,3.36,3.79399991035461
114,China,Bhutan,5.252999999999999,5.1960000000000015,5.01100015640259
115,China,Hong Kong,5.474,5.457999999999998,
116,China,India,4.565,4.404,4.31500005722046
117,China,Kazakhstan,5.855,5.919,5.8189997673034695
118,China,South Korea,5.984,5.835,5.837999820709231
119,China,Kyrgyzstan,5.2860000000000005,5.185,5.0040001869201705
120,China,Laos,4.876,4.876,
121,China,Malta,6.3020000000000005,6.488,6.52699995040894
122,China,Mongolia,4.874,4.907,4.95499992370605
123,China,Myanmar,4.307,4.395,4.54500007629395
124,China,Nepal,4.5139999999999985,4.793,4.961999893188481
125,China,Pakistan,5.194,5.1320000000000014,5.26900005340576
126,China,Tajikistan,4.7860000000000005,4.996,5.04099988937378
127,China,Vietnam,5.36,5.061,5.07399988174438
128,Colombia,Brazil,6.983,6.952000000000001,6.63500022888184
129,Colombia,Ecuador,5.975,5.976,6.00799989700317
130,Colombia,Panama,6.7860000000000005,6.7010000000000005,6.4520001411438
131,Colombia,Peru,5.824,5.7429999999999986,5.71500015258789
132,Colombia,Venezuela,6.81,6.084,5.25
133,Costa Rica,Nicaragua,5.8279999999999985,5.992000000000001,6.07100009918213
134,Costa Rica,Panama,6.7860000000000005,6.7010000000000005,6.4520001411438
135,Czech Republic,Austria,7.2,7.119,7.00600004196167
136,Czech Republic,Germany,6.75,6.994,6.9510002136230495
137,Czech Republic,Poland,5.791,5.835,5.97300004959106
138,Czech Republic,Slovakia,5.995,6.0779999999999985,6.09800004959106
139,Germany,Austria,7.2,7.119,7.00600004196167
140,Germany,Belgium,6.937,6.9289999999999985,6.89099979400635
141,Germany,Czech Republic,6.505,6.596,6.60900020599365
142,Germany,Denmark,7.527,7.526,7.52199983596802
143,Germany,France,6.575,6.478,6.44199991226196
